Ano;Time;MP;MIN_abs;GLS_abs;AST_abs;ASR;MIN_per90;GLS_per90;AST_per90
2025;Santos;19;1372;6;3;7.34;72.2;0.4;0.2
24/25;Al-Hilal;2;42;0;0;6.6;21;0;0
23/24;Al-Hilal;5;386;1;2;7.58;77.2;0.2;0.5
22/23;PSG;29;2361;18;16;7.74;81.4;0.7;0.6
21/22;PSG;29;2353;14;8;7.36;81.1;0.5;0.3
20/21;PSG;30;2299;16;8;7.44;76.6;0.6;0.3
19/20;PSG;27;2386;19;11;7.88;88.4;0.7;0.4
18/19;PSG;23;1973;20;9;8.16;85.8;0.9;0.4
17/18;PSG;27;2418;25;16;8.81;89.6;0.9;0.6
16/17;Barcelona;45;3971;20;21;7.96;88.2;0.5;0.5
15/16;Barcelona;43;3867;27;16;8.01;89.9;0.6;0.4
